user,enrolled,prediction,correct
75142,0,0,1
104426,0,1,0
365692,1,1,1
126533,0,0,1
192855,0,1,0
321858,0,1,0
192742,0,0,1
347837,0,0,1
61462,0,0,1
27099,0,0,1
371950,0,0,1
362709,1,1,1
182475,1,0,0
68566,0,0,1
299451,0,0,1
62563,1,1,1
179585,1,1,1
152107,1,0,0
192533,0,0,1
9028,1,1,1
41987,1,1,1
67875,1,1,1
33365,0,0,1
93165,0,0,1
363227,1,1,1
267999,1,0,0
133957,1,1,1
208105,1,1,1
61031,0,0,1
136296,0,0,1
318412,0,0,1
326434,0,0,1
277195,1,1,1
325950,0,0,1
251536,1,1,1
246984,0,0,1
301277,1,1,1
20235,0,1,0
35772,1,1,1
44832,0,0,1
66478,1,1,1
297862,0,0,1
193009,0,0,1
274732,1,1,1
270199,0,0,1
166861,0,0,1
129029,1,1,1
69417,1,0,0
85089,0,1,0
137677,1,1,1
42284,0,0,1
39463,0,1,0
267448,1,0,0
92434,1,1,1
337811,1,1,1
264688,0,1,0
314190,1,1,1
146123,0,1,0
171596,0,0,1
195964,0,0,1
217251,1,1,1
113224,1,1,1
60645,1,1,1
136857,1,1,1
363331,1,1,1
310634,0,0,1
220509,1,1,1
219841,1,1,1
125283,1,1,1
312003,1,1,1
342686,1,1,1
313207,1,1,1
269669,1,1,1
153140,0,0,1
2900,1,1,1
43338,1,1,1
56361,0,1,0
166074,1,1,1
126596,1,0,0
261387,0,0,1
222699,1,0,0
195795,0,0,1
169070,1,0,0
132577,0,0,1
200276,1,1,1
214028,1,1,1
109604,1,1,1
357262,1,1,1
365982,1,1,1
297683,1,1,1
87170,0,1,0
109096,1,1,1
40001,0,0,1
124968,0,1,0
181545,0,0,1
292378,1,1,1
299390,1,1,1
224266,0,0,1
338138,0,0,1
148330,1,1,1
105366,0,0,1
171212,1,1,1
124223,1,1,1
206963,1,0,0
63756,1,1,1
31919,1,1,1
17158,0,0,1
114058,0,0,1
94726,0,0,1
272914,0,1,0
35176,1,1,1
238887,1,0,0
226528,0,1,0
271907,1,1,1
360349,0,0,1
242874,1,1,1
70584,0,1,0
279437,1,0,0
329128,0,0,1
304894,1,0,0
90884,1,0,0
268144,0,1,0
151246,1,1,1
190042,0,1,0
216153,0,0,1
65293,1,1,1
305845,1,1,1
312789,0,0,1
93922,1,0,0
178694,0,0,1
17587,0,0,1
214929,0,0,1
38456,1,0,0
12484,1,0,0
152767,1,1,1
314790,1,1,1
274347,1,1,1
373566,0,0,1
242622,0,1,0
309066,0,1,0
185424,1,1,1
315886,0,0,1
206765,1,1,1
181534,1,1,1
63780,0,0,1
319552,0,1,0
354788,0,0,1
71174,1,1,1
109091,1,1,1
357094,0,0,1
329798,1,1,1
115731,1,1,1
299079,1,1,1
212667,1,1,1
202619,0,0,1
215366,0,1,0
349260,0,0,1
34297,1,0,0
366788,1,0,0
160813,0,0,1
186716,1,1,1
174369,0,0,1
27020,1,1,1
285643,1,1,1
136961,1,1,1
353289,1,1,1
99172,0,0,1
323262,1,1,1
247511,0,0,1
210561,1,1,1
280096,0,0,1
78608,1,0,0
258145,0,0,1
276382,1,0,0
73074,1,1,1
261165,0,0,1
142644,1,0,0
262089,0,0,1
140131,0,0,1
74810,1,1,1
91462,1,1,1
204966,0,0,1
332443,0,0,1
23989,0,0,1
203215,0,0,1
140569,0,1,0
203550,1,0,0
198112,0,0,1
290030,0,0,1
258143,1,1,1
203066,1,1,1
183881,1,1,1
120288,0,0,1
285600,1,1,1
275760,0,1,0
241789,1,1,1
91221,1,1,1
325283,0,0,1
189241,0,0,1
190246,0,0,1
318696,1,1,1
258371,1,1,1
351255,1,1,1
144083,1,1,1
271228,1,1,1
58734,1,1,1
173757,1,1,1
221437,1,1,1
284823,0,0,1
128266,1,1,1
70134,1,0,0
225067,1,1,1
196160,0,0,1
192374,1,1,1
206993,1,1,1
111554,0,1,0
42425,1,1,1
326523,1,1,1
252689,0,0,1
104787,0,0,1
86920,1,1,1
226603,1,1,1
17173,0,0,1
171336,1,1,1
332256,0,1,0
167899,0,0,1
256197,1,1,1
24375,0,0,1
32368,0,0,1
138421,0,1,0
65430,0,1,0
164592,0,0,1
360201,0,1,0
59225,0,0,1
304169,0,1,0
339500,0,0,1
228150,0,0,1
246360,0,1,0
118363,0,0,1
132558,0,1,0
83718,1,1,1
176846,0,1,0
14485,0,0,1
23020,0,1,0
101969,1,0,0
199243,1,1,1
360933,1,1,1
11781,0,0,1
174525,0,0,1
300218,0,1,0
367282,1,1,1
77904,1,0,0
48294,1,1,1
52769,0,0,1
267594,1,1,1
162667,1,1,1
304859,1,1,1
141008,1,1,1
141979,0,0,1
27873,0,0,1
110963,1,1,1
142981,1,0,0
330746,1,1,1
47750,0,1,0
169103,1,1,1
317246,0,1,0
96618,0,1,0
120438,1,1,1
275697,0,0,1
63202,1,1,1
372050,0,0,1
349064,0,0,1
137798,0,0,1
194956,1,1,1
367595,1,1,1
198877,1,1,1
270479,0,0,1
248992,1,1,1
366649,0,0,1
358561,1,0,0
368977,0,1,0
126368,1,1,1
344825,0,0,1
7857,1,1,1
260856,1,1,1
118388,0,1,0
201722,1,0,0
228603,1,1,1
287329,0,1,0
63065,1,1,1
45691,1,1,1
115097,1,1,1
347410,0,0,1
163396,0,1,0
311127,1,1,1
368780,0,0,1
225798,0,1,0
93926,1,1,1
87837,0,0,1
165188,0,0,1
277923,0,0,1
142777,0,0,1
370994,0,1,0
72102,1,0,0
220541,1,1,1
274973,0,1,0
170409,1,1,1
41913,0,0,1
127665,1,0,0
348785,1,1,1
158457,0,0,1
318258,1,1,1
355293,1,1,1
264520,1,1,1
150662,1,1,1
240557,0,0,1
152502,0,1,0
283834,0,0,1
89651,1,1,1
335468,0,0,1
124660,0,0,1
301091,0,1,0
174898,0,0,1
146784,0,1,0
248143,1,1,1
168092,0,0,1
340071,1,0,0
142962,0,0,1
298317,1,1,1
278961,1,0,0
104012,1,1,1
75713,0,1,0
348196,1,1,1
210707,1,1,1
339249,1,1,1
348796,1,1,1
